cover_id,cover_name,cover_abr,conditions,WFIRE,PDEC,MTPB,DFBB,SBB,SBUD,PDOG,CCUT,SHELT,GRP,IND,REST,MECH,CHEM,PFIRE
1,Agriculture,AGR,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barren,BAR,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Curl-leaf Mountain Mahogany,CMM,EARLY_ALL:MID_MOD:LATE_CL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Grassland,GRASS,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lodgepole Pine,LPN,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6,Lodgepole Pine with Aspen,LPN_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
7,Black and Low Sagebrush,LSG,EARLY_ALL:MID_MOD:LATE_CL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Meadow,MED,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Mixed Evergreen - Mesic,MEG_M,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
10,Mixed Evergreen - Ultramafic,MEG_U,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
11,Mixed Evergreen - Xeric,MEG_X,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12,Montane Riparian,MRIP,EARLY_ALL:MID_OP:LATE_OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Oak Woodland,OAK,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14,Oak-Conifer Forest and Woodland,OCFW,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15,Oak-Conifer Forest and Woodland - Ultramafic,OCFW_U,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16,Red Fir with Aspen,RFR_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17,Red Fir - Mesic,RFR_M,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18,Red Fir - Ultramafic,RFR_U,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
19,Red Fir - Xeric,RFR_X,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20,Big Sagebrush,SAGE,EARLY_ALL:MID_MOD:LATE_CL,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
21,Subalpine Conifer,SCN,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
22,Subalpine Conifer with Aspen,SCN_ASP,EARLY_ASP:MID_ASP:LATE_CA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
23,Sierran Mixed Conifer with Aspen,SMC_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24,Sierran Mixed Conifer - Mesic,SMC_M,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
25,Sierran Mixed Conifer - Ultramafic,SMC_U,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
26,Sierran Mixed Conifer - Xeric,SMC_X,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
27,Urban,URB,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Water,WAT,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Western White Pine,WWP,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
30,Yellow Pine,YPN,EARLY_ALL:MID_CL:MID_MOD:MID_OP:LATE_CL:LATE_MOD:LATE_OP,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
31,Yellow Pine with Aspen,YPN_ASP,EARLY_ASP:MID_ASP:LATE_CA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1